internalId	masterId	rowNr	rowId	PayMode	Comment	CreditCard	Plan	AuthorizationCode	ChequeNr	BatchNr	Paid	Installments
Taxes
internalId	masterId	rowNr	rowId	TaxCode	Amount

\N	\N	\N	\N	\N	2018-11-22	15:13:12	1	\N	CJ01	\N	0	Arturo	\N	\N	\N	\N	False	\N	1	\N	GS	\N	\N	\N	\N	\N	3900.0	1.0	CXXXX	Cliente Mostrador	Arturo	SALON	\N	1	2018-11-22	2018-11-22	\N	CONT	AYOLAS	AYOLAS	8	Misiones	py		1	Asunción	\N	\N	\N	\N	True	CC	\N	\N			\N		\N				\N	\N	\N	\N	\N	\N	\N	L1G	DIPLO	\N	\N	\N	\N	es	\N	\N	\N	\N	0	\N	\N	100.0	1654641.0	0.0	165459.0	1820100.0	1654641.0	1820100.0	True	\N	\N	\N	CXXXX	CONT	1	\N	\N	0	\N	0	\N	0.0	\N	\N	\N	\N	False	\N	\N	\N	\N	\N

\N	\N	12	\N	7790580118341	CARAMELOS DUROS DE MENTA ARCOR 810G 	\N	\N	1.0	\N	22727.0	\N	25000.0	0.0	25000.0	\N	10	UNI	22727.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	22727.0	\N	\N	\N	\N	\N
\N	\N	13	\N	7897652605263	GOLOCINAS MIX FIESTA 1700G	\N	\N	1.0	\N	27273.0	\N	30000.0	0.0	30000.0	\N	10	UNI	27273.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	27273.0	\N	\N	\N	\N	\N
\N	\N	14	\N	7896043351307	CHICCLE DE BOLA FRUTAL MEGABALL 440G	\N	\N	1.0	\N	11818.0	\N	13000.0	0.0	13000.0	\N	10	UNI	11818.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	11818.0	\N	\N	\N	\N	\N
\N	\N	15	\N	7897652603757	CARAMELO MASTICABLE FRUTAL SIMONETTO 200G	\N	\N	1.0	\N	4545.0	\N	5000.0	0.0	5000.0	\N	10	UNI	4545.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	4545.0	\N	\N	\N	\N	\N
\N	\N	16	\N	7897652603009	CARAMELOS MASTICABLE  DUE SABORE 250G	\N	\N	1.0	\N	4545.0	\N	5000.0	0.0	5000.0	\N	10	UNI	4545.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	4545.0	\N	\N	\N	\N	\N
\N	\N	17	\N	7897652603009	CARAMELOS MASTICABLE  DUE SABORE 250G	\N	\N	1.0	\N	4545.0	\N	5000.0	0.0	5000.0	\N	10	UNI	4545.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	4545.0	\N	\N	\N	\N	\N
\N	\N	18	\N	7896379908756	CARAMELOS MASTICABLES FANTASY 280G	\N	\N	1.0	\N	4545.0	\N	5000.0	0.0	5000.0	\N	10	UNI	4545.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	4545.0	\N	\N	\N	\N	\N
\N	\N	19	\N	7896379908756	CARAMELOS MASTICABLES FANTASY 280G	\N	\N	1.0	\N	4545.0	\N	5000.0	0.0	5000.0	\N	10	UNI	4545.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	4545.0	\N	\N	\N	\N	\N
\N	\N	20	\N	7897652600794	CARAMELOS DUROS FRUTAS SURTIDAS 250G	\N	\N	1.0	\N	4545.0	\N	5000.0	0.0	5000.0	\N	10	UNI	4545.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	4545.0	\N	\N	\N	\N	\N
\N	\N	21	\N	7897601500038	CHUPETIN SABOR TUTTI-FRUTTI RABINHO 650G	\N	\N	1.0	\N	30000.0	\N	33000.0	0.0	33000.0	\N	10	UNI	30000.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	30000.0	\N	\N	\N	\N	\N
\N	\N	22	\N	7771702000843	BARRITA DE CEREAL X-6 24UNI	\N	\N	1.0	\N	25455.0	\N	28000.0	0.0	28000.0	\N	10	UNI	25455.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	25455.0	\N	\N	\N	\N	\N
\N	\N	23	\N	7896379976670	CHUPETINES BERBULITO 600G	\N	\N	1.0	\N	10909.0	\N	12000.0	0.0	12000.0	\N	10	UNI	10909.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	10909.0	\N	\N	\N	\N	\N
\N	\N	24	\N	7896379910322	CHUPETIN SABOR TUTTI-FRUTTI POP CHICLE 500G	\N	\N	1.0	\N	11818.0	\N	13000.0	0.0	13000.0	\N	10	UNI	11818.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	11818.0	\N	\N	\N	\N	\N
\N	\N	25	\N	7896379908619	CARAMELO RELLENO SABOR CHOCOLATE DELICIA 600G	\N	\N	1.0	\N	9091.0	\N	10000.0	0.0	10000.0	\N	10	UNI	9091.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	9091.0	\N	\N	\N	\N	\N
\N	\N	26	\N	7896379908596	CARAMELO RELLENO SABOR LECHE CONDENSADA DELICIA 600G	\N	\N	1.0	\N	9091.0	\N	10000.0	0.0	10000.0	\N	10	UNI	9091.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	9091.0	\N	\N	\N	\N	\N
\N	\N	27	\N	7896379908596	CARAMELO RELLENO SABOR LECHE CONDENSADA DELICIA 600G	\N	\N	1.0	\N	9091.0	\N	10000.0	0.0	10000.0	\N	10	UNI	9091.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	9091.0	\N	\N	\N	\N	\N
\N	\N	28	\N	7898023690017	CHUPETIN PSICODELICO 450G	\N	\N	1.0	\N	19091.0	\N	21000.0	0.0	21000.0	\N	10	UNI	19091.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	19091.0	\N	\N	\N	\N	\N
\N	\N	29	\N	7897652602385	CHUPETIN SURTIDO POP FISH 500G	\N	\N	1.0	\N	10455.0	\N	11500.0	0.0	11500.0	\N	10	UNI	10455.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	10455.0	\N	\N	\N	\N	\N
\N	\N	30	\N	7898423406867	CHUPETIN SABOR TUTTI-FRUTTI BEIJA CORACAO 	\N	\N	1.0	\N	11818.0	\N	13000.0	0.0	13000.0	\N	10	UNI	11818.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	11818.0	\N	\N	\N	\N	\N
\N	\N	31	\N	7841579000038	GOLOSINAS CHUN-CHI	\N	\N	1.0	\N	17273.0	\N	19000.0	0.0	19000.0	\N	10	UNI	17273.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	17273.0	\N	\N	\N	\N	\N
\N	\N	32	\N	7897652601579	CHUPETIN SABOR TUTTI-FRUTTI POFT BALL 480G	\N	\N	1.0	\N	11818.0	\N	13000.0	0.0	13000.0	\N	10	UNI	11818.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	11818.0	\N	\N	\N	\N	\N
\N	\N	33	\N	7897652601579	CHUPETIN SABOR TUTTI-FRUTTI POFT BALL 480G	\N	\N	1.0	\N	11818.0	\N	13000.0	0.0	13000.0	\N	10	UNI	11818.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	11818.0	\N	\N	\N	\N	\N
\N	\N	34	\N	7896321014825	CHUPETIN SABOR NAPOLITANO PICOLE 550G	\N	\N	1.0	\N	15455.0	\N	17000.0	0.0	17000.0	\N	10	UNI	15455.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	15455.0	\N	\N	\N	\N	\N
\N	\N	35	\N	7897652604044	CHUPETIN SABOR DURAZNO Y FRUTILLA CHAMBY 500G	\N	\N	1.0	\N	9091.0	\N	10000.0	0.0	10000.0	\N	10	UNI	9091.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	9091.0	\N	\N	\N	\N	\N
\N	\N	36	\N	6920552105531	CHICLE DE BOLA EN TIRA ANGRY BIRDS	\N	\N	1.0	\N	2273.0	\N	2500.0	0.0	2500.0	\N	10	UNI	2273.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	2273.0	\N	\N	\N	\N	\N
\N	\N	37	\N	6920552105531	CHICLE DE BOLA EN TIRA ANGRY BIRDS	\N	\N	1.0	\N	2273.0	\N	2500.0	0.0	2500.0	\N	10	UNI	2273.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	2273.0	\N	\N	\N	\N	\N
\N	\N	38	\N	6920552105531	CHICLE DE BOLA EN TIRA ANGRY BIRDS	\N	\N	1.0	\N	2273.0	\N	2500.0	0.0	2500.0	\N	10	UNI	2273.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	2273.0	\N	\N	\N	\N	\N
\N	\N	39	\N	6923634953518	CHICLE SABOR SURTIDO SOY LUNA 30PZAS	\N	\N	1.0	\N	29091.0	\N	32000.0	0.0	32000.0	\N	10	UNI	29091.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	29091.0	\N	\N	\N	\N	\N
\N	\N	40	\N	7841579000038	GOLOSINAS CHUN-CHI	\N	\N	1.0	\N	17273.0	\N	19000.0	0.0	19000.0	\N	10	UNI	17273.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	17273.0	\N	\N	\N	\N	\N
\N	\N	41	\N	603554098020	DULCE MASTICABLE DELI CHEWS 30UNI	\N	\N	1.0	\N	36182.0	\N	39800.0	0.0	39800.0	\N	10	UNI	36182.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	36182.0	\N	\N	\N	\N	\N
\N	\N	42	\N	603554098020	DULCE MASTICABLE DELI CHEWS 30UNI	\N	\N	1.0	\N	36182.0	\N	39800.0	0.0	39800.0	\N	10	UNI	36182.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	36182.0	\N	\N	\N	\N	\N
\N	\N	43	\N	7896451910202	MAXMALLOWS BICOLOR II 250G	\N	\N	1.0	\N	16364.0	\N	18000.0	0.0	18000.0	\N	10	UNI	16364.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	16364.0	\N	\N	\N	\N	\N
\N	\N	44	\N	7896451911407	MAXMALLOWS DOCILE 250G	\N	\N	1.0	\N	16364.0	\N	18000.0	0.0	18000.0	1.0	10	UNI	16364.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	16364.0	\N	\N	\N	\N	\N
\N	\N	45	\N	7896451910226	MAXMALLOWS DOCILE BLANCO 250G	\N	\N	1.0	\N	16364.0	\N	18000.0	0.0	18000.0	\N	10	UNI	16364.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	16364.0	\N	\N	\N	\N	\N
\N	\N	46	\N	7898591450402	MARSHMALLOWS VULCAO SABOR VAINILLA FINI 250G	\N	\N	1.0	\N	16364.0	\N	18000.0	0.0	18000.0	\N	10	UNI	16364.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	16364.0	\N	\N	\N	\N	\N
\N	\N	47	\N	7898519450064	MARSHMALLOWS ALVORADA SABOR VAINILLA 250G	\N	\N	1.0	\N	16364.0	\N	18000.0	0.0	18000.0	\N	10	UNI	16364.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	16364.0	\N	\N	\N	\N	\N
\N	\N	48	\N	7898591450389	MARSHMALLOWS VULCAO SABOR VAINILLA FINI VERDE	\N	\N	1.0	\N	16364.0	\N	18000.0	0.0	18000.0	\N	10	UNI	16364.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	16364.0	\N	\N	\N	\N	\N
\N	\N	49	\N	603554037319	MALVAVISCO 3D 30UNI	\N	\N	1.0	\N	25455.0	\N	28000.0	0.0	28000.0	\N	10	UNI	25455.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	25455.0	\N	\N	\N	\N	\N
\N	\N	50	\N	603554037319	MALVAVISCO 3D 30UNI	\N	\N	1.0	\N	25455.0	\N	28000.0	0.0	28000.0	\N	10	UNI	25455.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	25455.0	\N	\N	\N	\N	\N
\N	\N	51	\N	7896451910196	MAXMALLOWS DOCILE BLANCO 250G	\N	\N	1.0	\N	16364.0	\N	18000.0	0.0	18000.0	\N	10	UNI	16364.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	16364.0	\N	\N	\N	\N	\N
\N	\N	52	\N	7896451910196	MAXMALLOWS DOCILE BLANCO 250G	\N	\N	1.0	\N	16364.0	\N	18000.0	0.0	18000.0	\N	10	UNI	16364.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	16364.0	\N	\N	\N	\N	\N
\N	\N	53	\N	7896451910219	MAXMALLOWS DOCILE BICOLOR 250G	\N	\N	1.0	\N	16364.0	\N	18000.0	0.0	18000.0	\N	10	UNI	16364.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	16364.0	\N	\N	\N	\N	\N
\N	\N	54	\N	7896451910127	MAXMALLOWS DOCILE COLORIDO II 250G	\N	\N	1.0	\N	16364.0	\N	18000.0	0.0	18000.0	\N	10	UNI	16364.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	16364.0	\N	\N	\N	\N	\N
\N	\N	55	\N	7896451910127	MAXMALLOWS DOCILE COLORIDO II 250G	\N	\N	1.0	\N	16364.0	\N	18000.0	0.0	18000.0	\N	10	UNI	16364.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	16364.0	\N	\N	\N	\N	\N
